Year,NOC,Rank,Gold,Silver,Bronze,Total,Market_Share_Gold,Market_Share_Total,Total_Events,is_host,Host_NOC,years_since_last,crossed_war,years_since_hosted,olympic_experience,first_medal_year,is_post_soviet,years_since_independence,NOC_original
1928,AUT,18,2,0,1,3,0.007936507936507936,0.011904761904761904,252,0,NED,4.0,0,999,32,1896,0,0,Austria
1932,AUT,18,1,1,3,5,0.0037313432835820895,0.018656716417910446,268,0,USA,4.0,0,999,36,1896,0,0,Austria
1936,AUT,10,5,7,5,17,0.016556291390728478,0.056291390728476824,302,0,GER,4.0,0,999,40,1896,0,0,Austria
1948,AUT,21,1,0,3,4,0.003205128205128205,0.01282051282051282,312,0,GBR,12.0,1,999,52,1896,0,0,Austria
1952,AUT,32,0,1,1,2,0.0,0.005917159763313609,338,0,FIN,4.0,0,999,56,1896,0,0,Austria
1956,AUT,34,0,0,2,2,0.0,0.005847953216374269,342,0,AUS,4.0,0,999,60,1896,0,0,Austria
1960,AUT,18,1,1,0,2,0.0029411764705882353,0.0058823529411764705,340,0,ITA,4.0,0,999,64,1896,0,0,Austria
1968,AUT,32,0,2,2,4,0.0,0.010362694300518135,386,0,MEX,8.0,0,999,72,1896,0,0,Austria
1972,AUT,31,0,1,2,3,0.0,0.00683371298405467,439,0,GER,4.0,0,999,76,1896,0,0,Austria
1976,AUT,37,0,0,1,1,0.0,0.0022522522522522522,444,0,CAN,4.0,0,999,80,1896,0,0,Austria
1980,AUT,21,1,2,1,4,0.0022026431718061676,0.00881057268722467,454,0,RUS,4.0,0,999,84,1896,0,0,Austria
1984,AUT,22,1,1,1,3,0.0020325203252032522,0.006097560975609756,492,0,USA,4.0,0,999,88,1896,0,0,Austria
1988,AUT,29,1,0,0,1,0.001893939393939394,0.001893939393939394,528,0,KOR,4.0,0,999,92,1896,0,0,Austria
1992,AUT,41,0,2,0,2,0.0,0.0034904013961605585,573,0,ESP,4.0,0,999,96,1896,0,0,Austria
1996,AUT,57,0,1,2,3,0.0,0.004966887417218543,604,0,USA,4.0,0,999,100,1896,0,0,Austria
2000,AUT,32,2,1,0,3,0.0029985007496251873,0.004497751124437781,667,0,AUS,4.0,0,999,104,1896,0,0,Austria
2004,AUT,27,2,4,1,7,0.0029895366218236174,0.01046337817638266,669,0,GRE,4.0,0,999,108,1896,0,0,Austria
2008,AUT,64,0,1,2,3,0.0,0.004457652303120356,673,0,CHN,4.0,0,999,112,1896,0,0,Austria
2016,AUT,78,0,0,1,1,0.0,0.001466275659824047,682,0,BRA,8.0,0,999,120,1896,0,0,Austria
2020,AUT,53,1,1,5,7,0.001314060446780552,0.009198423127463863,761,0,JPN,4.0,0,999,124,1896,0,0,Austria
2024,AUT,36,2,0,3,5,0.0027100271002710027,0.006775067750677507,738,0,FRA,4.0,0,999,128,1896,0,0,Austria
1996,AZE,61,0,1,0,1,0.0,0.0016556291390728477,604,0,USA,0.0,0,999,0,1996,1,5,Azerbaijan
2000,AZE,34,2,0,1,3,0.0029985007496251873,0.004497751124437781,667,0,AUS,4.0,0,999,4,1996,1,9,Azerbaijan
2004,AZE,50,1,0,4,5,0.0014947683109118087,0.007473841554559043,669,0,GRE,4.0,0,999,8,1996,1,13,Azerbaijan
2008,AZE,40,1,1,4,6,0.0014858841010401188,0.008915304606240713,673,0,CHN,4.0,0,999,12,1996,1,17,Azerbaijan
2012,AZE,32,2,2,5,9,0.0029850746268656717,0.013432835820895522,670,0,GBR,4.0,0,999,16,1996,1,21,Azerbaijan
2016,AZE,39,1,7,10,18,0.001466275659824047,0.026392961876832845,682,0,BRA,4.0,0,999,20,1996,1,25,Azerbaijan
2020,AZE,67,0,3,4,7,0.0,0.009198423127463863,761,0,JPN,4.0,0,999,24,1996,1,29,Azerbaijan
2024,AZE,30,2,2,3,7,0.0027100271002710027,0.009485094850948509,738,0,FRA,4.0,0,999,28,1996,1,33,Azerbaijan
1956,BAH,35,0,0,1,1,0.0,0.0029239766081871343,342,0,AUS,0.0,0,999,0,1956,0,0,Bahamas
1964,BAH,24,1,0,0,1,0.002702702702702703,0.002702702702702703,370,0,JPN,8.0,0,999,8,1956,0,0,Bahamas
1992,BAH,54,0,0,1,1,0.0,0.0017452006980802793,573,0,ESP,28.0,0,999,36,1956,0,0,Bahamas
1996,BAH,61,0,1,0,1,0.0,0.0016556291390728477,604,0,USA,4.0,0,999,40,1956,0,0,Bahamas
2000,BAH,34,2,0,1,3,0.0029985007496251873,0.004497751124437781,667,0,AUS,4.0,0,999,44,1956,0,0,Bahamas
2004,BAH,52,1,0,1,2,0.0014947683109118087,0.0029895366218236174,669,0,GRE,4.0,0,999,48,1956,0,0,Bahamas
2008,BAH,68,0,1,1,2,0.0,0.0029717682020802376,673,0,CHN,4.0,0,999,52,1956,0,0,Bahamas
2012,BAH,50,1,0,0,1,0.0014925373134328358,0.0014925373134328358,670,0,GBR,4.0,0,999,56,1956,0,0,Bahamas
2016,BAH,51,1,0,1,2,0.001466275659824047,0.002932551319648094,682,0,BRA,4.0,0,999,60,1956,0,0,Bahamas
2020,BAH,42,2,0,0,2,0.002628120893561104,0.002628120893561104,761,0,JPN,4.0,0,999,64,1956,0,0,Bahamas
2000,BAR,71,0,0,1,1,0.0,0.0014992503748125937,667,0,AUS,0.0,0,999,0,2000,0,0,Barbados
1996,BDI,49,1,0,0,1,0.0016556291390728477,0.0016556291390728477,604,0,USA,0.0,0,999,0,1996,0,0,Burundi
2016,BDI,69,0,1,0,1,0.0,0.001466275659824047,682,0,BRA,20.0,0,999,20,1996,0,0,Burundi
1900,BEL,5,6,7,4,17,0.025423728813559324,0.07203389830508475,236,0,FRA,0.0,0,999,0,1900,0,0,Belgium
1908,BEL,10,1,5,2,8,0.003745318352059925,0.0299625468164794,267,0,GBR,8.0,0,999,8,1900,0,0,Belgium
1912,BEL,13,2,1,3,6,0.00847457627118644,0.025423728813559324,236,0,SWE,4.0,0,999,12,1900,0,0,Belgium
1920,BEL,5,14,11,11,36,0.03856749311294766,0.09917355371900827,363,1,BEL,8.0,1,0,20,1900,0,0,Belgium
1924,BEL,10,3,7,3,13,0.010273972602739725,0.04452054794520548,292,0,FRA,4.0,0,4,24,1900,0,0,Belgium
1928,BEL,29,0,1,2,3,0.0,0.011904761904761904,252,0,NED,4.0,0,8,28,1900,0,0,Belgium
1932,BEL,26,0,0,1,1,0.0,0.0037313432835820895,268,0,USA,4.0,0,12,32,1900,0,0,Belgium
1936,BEL,28,0,0,3,3,0.0,0.009933774834437087,302,0,GER,4.0,0,16,36,1900,0,0,Belgium
1948,BEL,15,2,2,3,7,0.00641025641025641,0.022435897435897436,312,0,GBR,12.0,1,28,48,1900,0,0,Belgium
1952,BEL,14,2,2,0,4,0.005917159763313609,0.011834319526627219,338,0,FIN,4.0,0,32,52,1900,0,0,Belgium
1956,BEL,28,0,2,0,2,0.0,0.005847953216374269,342,0,AUS,4.0,0,36,56,1900,0,0,Belgium
1960,BEL,26,0,2,2,4,0.0,0.011764705882352941,340,0,ITA,4.0,0,40,60,1900,0,0,Belgium
1964,BEL,20,2,0,1,3,0.005405405405405406,0.008108108108108109,370,0,JPN,4.0,0,44,64,1900,0,0,Belgium
1968,BEL,36,0,1,1,2,0.0,0.0051813471502590676,386,0,MEX,4.0,0,48,68,1900,0,0,Belgium
1972,BEL,29,0,2,0,2,0.0,0.004555808656036446,439,0,GER,4.0,0,52,72,1900,0,0,Belgium
1976,BEL,28,0,3,3,6,0.0,0.013513513513513514,444,0,CAN,4.0,0,56,76,1900,0,0,Belgium
1980,BEL,23,1,0,0,1,0.0022026431718061676,0.0022026431718061676,454,0,RUS,4.0,0,60,80,1900,0,0,Belgium
1984,BEL,21,1,1,2,4,0.0020325203252032522,0.008130081300813009,492,0,USA,4.0,0,64,84,1900,0,0,Belgium
1988,BEL,44,0,0,2,2,0.0,0.003787878787878788,528,0,KOR,4.0,0,68,88,1900,0,0,Belgium
1992,BEL,44,0,1,2,3,0.0,0.005235602094240838,573,0,ESP,4.0,0,72,92,1900,0,0,Belgium
1996,BEL,31,2,2,2,6,0.0033112582781456954,0.009933774834437087,604,0,USA,4.0,0,76,96,1900,0,0,Belgium
2000,BEL,55,0,2,3,5,0.0,0.0074962518740629685,667,0,AUS,4.0,0,80,100,1900,0,0,Belgium
2004,BEL,51,1,0,2,3,0.0014947683109118087,0.004484304932735426,669,0,GRE,4.0,0,84,104,1900,0,0,Belgium
2008,BEL,37,2,0,0,2,0.0029717682020802376,0.0029717682020802376,673,0,CHN,4.0,0,88,108,1900,0,0,Belgium
2012,BEL,64,0,1,2,3,0.0,0.004477611940298508,670,0,GBR,4.0,0,92,112,1900,0,0,Belgium
2016,BEL,35,2,2,2,6,0.002932551319648094,0.008797653958944282,682,0,BRA,4.0,0,96,116,1900,0,0,Belgium
2020,BEL,29,3,1,3,7,0.003942181340341655,0.009198423127463863,761,0,JPN,4.0,0,100,120,1900,0,0,Belgium
2024,BEL,25,3,1,6,10,0.0040650406504065045,0.013550135501355014,738,0,FRA,4.0,0,104,124,1900,0,0,Belgium
1976,BER,37,0,0,1,1,0.0,0.0022522522522522522,444,0,CAN,0.0,0,999,0,1976,0,0,Bermuda
2020,BER,63,1,0,0,1,0.001314060446780552,0.001314060446780552,761,0,JPN,44.0,0,999,44,1976,0,0,Bermuda
1996,BLR,37,1,6,8,15,0.0016556291390728477,0.024834437086092714,604,0,USA,0.0,0,999,0,1996,1,5,Belarus
2000,BLR,23,3,3,11,17,0.004497751124437781,0.025487256371814093,667,0,AUS,4.0,0,999,4,1996,1,9,Belarus
2004,BLR,26,2,5,6,13,0.0029895366218236174,0.01943198804185351,669,0,GRE,4.0,0,999,8,1996,1,13,Belarus
2008,BLR,24,3,4,7,14,0.004457652303120356,0.020802377414561663,673,0,CHN,4.0,0,999,12,1996,1,17,Belarus
2012,BLR,28,2,5,3,10,0.0029850746268656717,0.014925373134328358,670,0,GBR,4.0,0,999,16,1996,1,21,Belarus
2016,BLR,40,1,4,4,9,0.001466275659824047,0.013196480938416423,682,0,BRA,4.0,0,999,20,1996,1,25,Belarus
2020,BLR,45,1,3,3,7,0.001314060446780552,0.009198423127463863,761,0,JPN,4.0,0,999,24,1996,1,29,Belarus
2012,BOT,70,0,1,0,1,0.0,0.0014925373134328358,670,0,GBR,0.0,0,999,0,2012,0,0,Botswana
2020,BOT,86,0,0,1,1,0.0,0.001314060446780552,761,0,JPN,8.0,0,999,8,2012,0,0,Botswana
2024,BOT,55,1,1,0,2,0.0013550135501355014,0.0027100271002710027,738,0,FRA,4.0,0,999,12,2012,0,0,Botswana
1920,BRA,15,1,1,1,3,0.0027548209366391185,0.008264462809917356,363,0,BEL,0.0,1,999,0,1920,0,0,Brazil
1948,BRA,34,0,0,1,1,0.0,0.003205128205128205,312,0,GBR,28.0,1,999,28,1920,0,0,Brazil
1952,BRA,24,1,0,2,3,0.0029585798816568047,0.008875739644970414,338,0,FIN,4.0,0,999,32,1920,0,0,Brazil
1956,BRA,24,1,0,0,1,0.0029239766081871343,0.0029239766081871343,342,0,AUS,4.0,0,999,36,1920,0,0,Brazil
1960,BRA,39,0,0,2,2,0.0,0.0058823529411764705,340,0,ITA,4.0,0,999,40,1920,0,0,Brazil
1964,BRA,35,0,0,1,1,0.0,0.002702702702702703,370,0,JPN,4.0,0,999,44,1920,0,0,Brazil
1968,BRA,35,0,1,2,3,0.0,0.007772020725388601,386,0,MEX,4.0,0,999,48,1920,0,0,Brazil
1972,BRA,41,0,0,2,2,0.0,0.004555808656036446,439,0,GER,4.0,0,999,52,1920,0,0,Brazil
1976,BRA,36,0,0,2,2,0.0,0.0045045045045045045,444,0,CAN,4.0,0,999,56,1920,0,0,Brazil
1980,BRA,17,2,0,2,4,0.004405286343612335,0.00881057268722467,454,0,RUS,4.0,0,999,60,1920,0,0,Brazil
1984,BRA,19,1,5,2,8,0.0020325203252032522,0.016260162601626018,492,0,USA,4.0,0,999,64,1920,0,0,Brazil
1988,BRA,24,1,2,3,6,0.001893939393939394,0.011363636363636364,528,0,KOR,4.0,0,999,68,1920,0,0,Brazil
1992,BRA,25,2,1,0,3,0.0034904013961605585,0.005235602094240838,573,0,ESP,4.0,0,999,72,1920,0,0,Brazil
1996,BRA,25,3,3,9,15,0.004966887417218543,0.024834437086092714,604,0,USA,4.0,0,999,76,1920,0,0,Brazil
2000,BRA,53,0,6,6,12,0.0,0.017991004497751123,667,0,AUS,4.0,0,999,80,1920,0,0,Brazil
2004,BRA,16,5,2,3,10,0.007473841554559043,0.014947683109118086,669,0,GRE,4.0,0,999,84,1920,0,0,Brazil
2008,BRA,23,3,4,10,17,0.004457652303120356,0.02526002971768202,673,0,CHN,4.0,0,999,88,1920,0,0,Brazil
2012,BRA,22,3,5,9,17,0.004477611940298508,0.025373134328358207,670,0,GBR,4.0,0,999,92,1920,0,0,Brazil
2016,BRA,13,7,6,6,19,0.010263929618768328,0.02785923753665689,682,1,BRA,4.0,0,0,96,1920,0,0,Brazil
2020,BRA,12,7,6,8,21,0.009198423127463863,0.02759526938239159,761,0,JPN,4.0,0,4,100,1920,0,0,Brazil
2024,BRA,20,3,7,10,20,0.0040650406504065045,0.02710027100271003,738,0,FRA,4.0,0,8,104,1920,0,0,Brazil
2012,BRN,50,1,0,0,1,0.0014925373134328358,0.0014925373134328358,670,0,GBR,0.0,0,999,0,2012,0,0,Bahrain
2016,BRN,48,1,1,0,2,0.001466275659824047,0.002932551319648094,682,0,BRA,4.0,0,999,4,2012,0,0,Bahrain
2020,BRN,77,0,1,0,1,0.0,0.001314060446780552,761,0,JPN,4.0,0,999,8,2012,0,0,Bahrain
2024,BRN,33,2,1,1,4,0.0027100271002710027,0.005420054200542005,738,0,FRA,4.0,0,999,12,2012,0,0,Bahrain
1952,BUL,40,0,0,1,1,0.0,0.0029585798816568047,338,0,FIN,0.0,0,999,0,1952,0,0,Bulgaria
1956,BUL,19,1,3,1,5,0.0029239766081871343,0.014619883040935672,342,0,AUS,4.0,0,999,4,1952,0,0,Bulgaria
1960,BUL,15,1,3,3,7,0.0029411764705882353,0.020588235294117647,340,0,ITA,4.0,0,999,8,1952,0,0,Bulgaria
1964,BUL,11,3,5,2,10,0.008108108108108109,0.02702702702702703,370,0,JPN,4.0,0,999,12,1952,0,0,Bulgaria
1968,BUL,18,2,4,3,9,0.0051813471502590676,0.023316062176165803,386,0,MEX,4.0,0,999,16,1952,0,0,Bulgaria
1972,BUL,9,6,10,5,21,0.01366742596810934,0.04783599088838269,439,0,GER,4.0,0,999,20,1952,0,0,Bulgaria
1976,BUL,7,6,9,7,22,0.013513513513513514,0.04954954954954955,444,0,CAN,4.0,0,999,24,1952,0,0,Bulgaria
1980,BUL,3,8,16,17,41,0.01762114537444934,0.09030837004405286,454,0,RUS,4.0,0,999,28,1952,0,0,Bulgaria
1988,BUL,7,10,12,13,35,0.01893939393939394,0.06628787878787878,528,0,KOR,8.0,0,999,36,1952,0,0,Bulgaria
1992,BUL,18,3,7,6,16,0.005235602094240838,0.027923211169284468,573,0,ESP,4.0,0,999,40,1952,0,0,Bulgaria
1996,BUL,22,3,7,5,15,0.004966887417218543,0.024834437086092714,604,0,USA,4.0,0,999,44,1952,0,0,Bulgaria
2000,BUL,16,5,6,2,13,0.0074962518740629685,0.019490254872563718,667,0,AUS,4.0,0,999,48,1952,0,0,Bulgaria
2004,BUL,33,2,1,9,12,0.0029895366218236174,0.017937219730941704,669,0,GRE,4.0,0,999,52,1952,0,0,Bulgaria
2008,BUL,42,1,1,3,5,0.0014858841010401188,0.007429420505200594,673,0,CHN,4.0,0,999,56,1952,0,0,Bulgaria
2012,BUL,60,0,2,1,3,0.0,0.004477611940298508,670,0,GBR,4.0,0,999,60,1952,0,0,Bulgaria
2016,BUL,66,0,1,2,3,0.0,0.004398826979472141,682,0,BRA,4.0,0,999,64,1952,0,0,Bulgaria
2020,BUL,30,3,1,2,6,0.003942181340341655,0.00788436268068331,761,0,JPN,4.0,0,999,68,1952,0,0,Bulgaria
2024,BUL,26,3,1,3,7,0.0040650406504065045,0.009485094850948509,738,0,FRA,4.0,0,999,72,1952,0,0,Bulgaria
2020,BUR,86,0,0,1,1,0.0,0.001314060446780552,761,0,JPN,0.0,0,999,0,2020,0,0,Burkina Faso
1960,British West Indies,39,0,0,2,2,0.0,0.0058823529411764705,340,0,ITA,0.0,0,999,0,1960,0,0,British West Indies
1900,CAN,13,1,0,1,2,0.00423728813559322,0.00847457627118644,236,0,FRA,0.0,0,999,0,1900,0,0,Canada
1904,CAN,3,4,1,1,6,0.017857142857142856,0.026785714285714284,224,0,USA,4.0,0,999,4,1900,0,0,Canada
1908,CAN,7,3,3,10,16,0.011235955056179775,0.0599250936329588,267,0,GBR,4.0,0,999,8,1900,0,0,Canada
1912,CAN,9,3,2,3,8,0.012711864406779662,0.03389830508474576,236,0,SWE,4.0,0,999,12,1900,0,0,Canada
1920,CAN,12,3,3,3,9,0.008264462809917356,0.024793388429752067,363,0,BEL,8.0,1,999,20,1900,0,0,Canada
1924,CAN,20,0,3,1,4,0.0,0.0136986301369863,292,0,FRA,4.0,0,999,24,1900,0,0,Canada
1928,CAN,10,4,4,7,15,0.015873015873015872,0.05952380952380952,252,0,NED,4.0,0,999,28,1900,0,0,Canada
1932,CAN,13,2,5,9,16,0.007462686567164179,0.05970149253731343,268,0,USA,4.0,0,999,32,1900,0,0,Canada
1936,CAN,17,1,3,5,9,0.0033112582781456954,0.029801324503311258,302,0,GER,4.0,0,999,36,1900,0,0,Canada
1948,CAN,25,0,1,2,3,0.0,0.009615384615384616,312,0,GBR,12.0,1,999,48,1900,0,0,Canada
1952,CAN,21,1,2,0,3,0.0029585798816568047,0.008875739644970414,338,0,FIN,4.0,0,999,52,1900,0,0,Canada
1956,CAN,15,2,1,3,6,0.005847953216374269,0.017543859649122806,342,0,AUS,4.0,0,999,56,1900,0,0,Canada
1960,CAN,32,0,1,0,1,0.0,0.0029411764705882353,340,0,ITA,4.0,0,999,60,1900,0,0,Canada
